oem_product_ID,PAYG_product_ID
L1901908000000,18000000
L1901908000001,18000001
L1901908000002,18000002
L1901908000003,18000003
L1901908000004,18000004
L1901908000005,18000005
L1901908000006,18000006
L1901908000007,18000007
L1901908000008,18000008
L1901908000009,18000009
L1901908000010,18000010
L1901908000011,18000011
L1901908000012,18000012
L1901908000013,18000013
L1901908000014,18000014
L1901908000015,18000015
L1901908000016,18000016
L1901908000017,18000017
L1901908000018,18000018
L1901908000019,18000019
L1901908000020,18000020
L1901908000021,18000021
L1901908000022,18000022
L1901908000023,18000023
L1901908000024,18000024
L1901908000025,18000025
L1901908000026,18000026
L1901908000027,18000027
L1901908000028,18000028
L1901908000029,18000029
L1901908000030,18000030
L1901908000031,18000031
L1901908000032,18000032
L1901908000033,18000033
L1901908000034,18000034
L1901908000035,18000035
L1901908000036,18000036
L1901908000037,18000037
L1901908000038,18000038
L1901908000039,18000039
L1901908000040,18000040
L1901908000041,18000041
L1901908000042,18000042
L1901908000043,18000043
L1901908000044,18000044
L1901908000045,18000045
L1901908000046,18000046
L1901908000047,18000047
L1901908000048,18000048
L1901908000049,18000049
L1901908000050,18000050
L1901908000051,18000051
L1901908000052,18000052
L1901908000053,18000053
L1901908000054,18000054
L1901908000055,18000055
L1901908000056,18000056
L1901908000057,18000057
L1901908000058,18000058
L1901908000059,18000059
L1901908000060,18000060
L1901908000061,18000061
L1901908000062,18000062
L1901908000063,18000063
L1901908000064,18000064
L1901908000065,18000065
L1901908000066,18000066
L1901908000067,18000067
L1901908000068,18000068
L1901908000069,18000069
L1901908000070,18000070
L1901908000071,18000071
L1901908000072,18000072
L1901908000073,18000073
L1901908000074,18000074
L1901908000075,18000075
L1901908000076,18000076
L1901908000077,18000077
L1901908000078,18000078
L1901908000079,18000079
L1901908000080,18000080
L1901908000081,18000081
L1901908000082,18000082
L1901908000083,18000083
L1901908000084,18000084
L1901908000085,18000085
L1901908000086,18000086
L1901908000087,18000087
L1901908000088,18000088
L1901908000089,18000089
L1901908000090,18000090
L1901908000091,18000091
L1901908000092,18000092
L1901908000093,18000093
L1901908000094,18000094
L1901908000095,18000095
L1901908000096,18000096
L1901908000097,18000097
L1901908000098,18000098
L1901908000099,18000099
L1901908000100,18000100
L1901908000101,18000101
L1901908000102,18000102
L1901908000103,18000103
L1901908000104,18000104
L1901908000105,18000105
L1901908000106,18000106
L1901908000107,18000107
L1901908000108,18000108
L1901908000109,18000109
L1901908000110,18000110
L1901908000111,18000111
L1901908000112,18000112
L1901908000113,18000113
L1901908000114,18000114
L1901908000115,18000115
L1901908000116,18000116
L1901908000117,18000117
L1901908000118,18000118
L1901908000119,18000119
L1901908000120,18000120
L1901908000121,18000121
L1901908000122,18000122
L1901908000123,18000123
L1901908000124,18000124
L1901908000125,18000125
L1901908000126,18000126
L1901908000127,18000127
L1901908000128,18000128
L1901908000129,18000129
L1901908000130,18000130
L1901908000131,18000131
L1901908000132,18000132
L1901908000133,18000133
L1901908000134,18000134
L1901908000135,18000135
L1901908000136,18000136
L1901908000137,18000137
L1901908000138,18000138
L1901908000139,18000139
L1901908000140,18000140
L1901908000141,18000141
L1901908000142,18000142
L1901908000143,18000143
L1901908000144,18000144
L1901908000145,18000145
L1901908000146,18000146
L1901908000147,18000147
L1901908000148,18000148
L1901908000149,18000149
L1901908000150,18000150
L1901908000151,18000151
L1901908000152,18000152
L1901908000153,18000153
L1901908000154,18000154
L1901908000155,18000155
L1901908000156,18000156
L1901908000157,18000157
L1901908000158,18000158
L1901908000159,18000159
L1901908000160,18000160
L1901908000161,18000161
L1901908000162,18000162
L1901908000163,18000163
L1901908000164,18000164
L1901908000165,18000165
L1901908000166,18000166
L1901908000167,18000167
L1901908000168,18000168
L1901908000169,18000169
L1901908000170,18000170
L1901908000171,18000171
L1901908000172,18000172
L1901908000173,18000173
L1901908000174,18000174
L1901908000175,18000175
L1901908000176,18000176
L1901908000177,18000177
L1901908000178,18000178
L1901908000179,18000179
L1901908000180,18000180
L1901908000181,18000181
L1901908000182,18000182
L1901908000183,18000183
L1901908000184,18000184
L1901908000185,18000185
L1901908000186,18000186
L1901908000187,18000187
L1901908000188,18000188
L1901908000189,18000189
L1901908000190,18000190
L1901908000191,18000191
L1901908000192,18000192
L1901908000193,18000193
L1901908000194,18000194
L1901908000195,18000195
L1901908000196,18000196
L1901908000197,18000197
L1901908000198,18000198
L1901908000199,18000199
L1901908000200,18000200
L1901908000201,18000201
L1901908000202,18000202
L1901908000203,18000203
L1901908000204,18000204
L1901908000205,18000205
L1901908000206,18000206
L1901908000207,18000207
L1901908000208,18000208
L1901908000209,18000209
L1901908000210,18000210
L1901908000211,18000211
L1901908000212,18000212
L1901908000213,18000213
L1901908000214,18000214
L1901908000215,18000215
L1901908000216,18000216
L1901908000217,18000217
L1901908000218,18000218
L1901908000219,18000219
L1901908000220,18000220
L1901908000221,18000221
L1901908000222,18000222
L1901908000223,18000223
L1901908000224,18000224
L1901908000225,18000225
L1901908000226,18000226
L1901908000227,18000227
L1901908000228,18000228
L1901908000229,18000229
L1901908000230,18000230
L1901908000231,18000231
L1901908000232,18000232
L1901908000233,18000233
L1901908000234,18000234
L1901908000235,18000235
L1901908000236,18000236
L1901908000237,18000237
L1901908000238,18000238
L1901908000239,18000239
L1901908000240,18000240
L1901908000241,18000241
L1901908000242,18000242
L1901908000243,18000243
L1901908000244,18000244
L1901908000245,18000245
L1901908000246,18000246
L1901908000247,18000247
L1901908000248,18000248
L1901908000249,18000249
L1901908000250,18000250
L1901908000251,18000251
L1901908000252,18000252
L1901908000253,18000253
L1901908000254,18000254
L1901908000255,18000255
L1901908000256,18000256
L1901908000257,18000257
L1901908000258,18000258
L1901908000259,18000259
L1901908000260,18000260
L1901908000261,18000261
L1901908000262,18000262
L1901908000263,18000263
L1901908000264,18000264
L1901908000265,18000265
L1901908000266,18000266
L1901908000267,18000267
L1901908000268,18000268
L1901908000269,18000269
L1901908000270,18000270
L1901908000271,18000271
L1901908000272,18000272
L1901908000273,18000273
L1901908000274,18000274
L1901908000275,18000275
L1901908000276,18000276
L1901908000277,18000277
L1901908000278,18000278
L1901908000279,18000279
L1901908000280,18000280
L1901908000281,18000281
L1901908000282,18000282
L1901908000283,18000283
L1901908000284,18000284
L1901908000285,18000285
L1901908000286,18000286
L1901908000287,18000287
L1901908000288,18000288
L1901908000289,18000289
L1901908000290,18000290
L1901908000291,18000291
L1901908000292,18000292
L1901908000293,18000293
L1901908000294,18000294
