oem_product_ID,PAYG_product_ID
L1901908000000,42733535
L1901908000001,42733634
L1901908000002,42733733
L1901908000003,42733832
L1901908000004,42733931
L1901908000005,42734038
L1901908000006,42734137
L1901908000007,42734236
L1901908000008,42734335
L1901908000009,42734434
L1901908000010,42734533
L1901908000011,42734632
L1901908000012,42734731
L1901908000013,42734830
L1901908000014,42734939
L1901908000015,42735035
L1901908000016,42735134
L1901908000017,42735233
L1901908000018,42735332
L1901908000019,42735431
L1901908000020,42735530
L1901908000021,42735639
L1901908000022,42735738
L1901908000023,42735837
L1901908000024,42735936
L1901908000025,42736033
L1901908000026,42736132
L1901908000027,42736231
L1901908000028,42736330
L1901908000029,42736439
L1901908000030,42736538
L1901908000031,42736637
L1901908000032,42736736
L1901908000033,42736835
L1901908000034,42736934
L1901908000035,42737031
L1901908000036,42737130
L1901908000037,42737239
L1901908000038,42737338
L1901908000039,42737437
L1901908000040,42737536
L1901908000041,42737635
L1901908000042,42737734
L1901908000043,42737833
L1901908000044,42737932
L1901908000045,42738039
L1901908000046,42738138
L1901908000047,42738237
L1901908000048,42738336
L1901908000049,42738435
L1901908000050,42738534
L1901908000051,42738633
L1901908000052,42738732
L1901908000053,42738831
L1901908000054,42738930
L1901908000055,42739037
L1901908000056,42739136
L1901908000057,42739235
L1901908000058,42739334
L1901908000059,42739433
L1901908000060,42739532
L1901908000061,42739631
L1901908000062,42739730
L1901908000063,42739839
L1901908000064,42739938
L1901908000065,42740035
L1901908000066,42740134
L1901908000067,42740233
L1901908000068,42740332
L1901908000069,42740431
L1901908000070,42740530
L1901908000071,42740639
L1901908000072,42740738
L1901908000073,42740837
L1901908000074,42740936
L1901908000075,42741033
L1901908000076,42741132
L1901908000077,42741231
L1901908000078,42741330
L1901908000079,42741439
L1901908000080,42741538
L1901908000081,42741637
L1901908000082,42741736
L1901908000083,42741835
L1901908000084,42741934
L1901908000085,42742031
L1901908000086,42742130
L1901908000087,42742239
L1901908000088,42742338
L1901908000089,42742437
L1901908000090,42742536
L1901908000091,42742635
L1901908000092,42742734
L1901908000093,42742833
L1901908000094,42742932
L1901908000095,42743039
L1901908000096,42743138
L1901908000097,42743237
L1901908000098,42743336
L1901908000099,42743435
L1901908000100,42743534
L1901908000101,42743633
L1901908000102,42743732
L1901908000103,42743831
L1901908000104,42743930
L1901908000105,42744037
L1901908000106,42744136
L1901908000107,42744235
L1901908000108,42744334
L1901908000109,42744433
L1901908000110,42744532
L1901908000111,42744631
L1901908000112,42744730
L1901908000113,42744839
L1901908000114,42744938
L1901908000115,42745034
L1901908000116,42745133
L1901908000117,42745232
L1901908000118,42745331
L1901908000119,42745430
L1901908000120,42745539
L1901908000121,42745638
L1901908000122,42745737
L1901908000123,42745836
L1901908000124,42745935
L1901908000125,42746032
L1901908000126,42746131
L1901908000127,42746230
L1901908000128,42746339
L1901908000129,42746438
L1901908000130,42746537
L1901908000131,42746636
L1901908000132,42746735
L1901908000133,42746834
L1901908000134,42746933
L1901908000135,42747030
L1901908000136,42747139
L1901908000137,42747238
L1901908000138,42747337
L1901908000139,42747436
L1901908000140,42747535
L1901908000141,42747634
L1901908000142,42747733
L1901908000143,42747832
L1901908000144,42747931
L1901908000145,42748038
L1901908000146,42748137
L1901908000147,42748236
L1901908000148,42748335
L1901908000149,42748434
L1901908000150,42748533
L1901908000151,42748632
L1901908000152,42748731
L1901908000153,42748830
L1901908000154,42748939
L1901908000155,42749036
L1901908000156,42749135
L1901908000157,42749234
L1901908000158,42749333
L1901908000159,42749432
L1901908000160,42749531
L1901908000161,42749630
L1901908000162,42749739
L1901908000163,42749838
L1901908000164,42749937
L1901908000165,42750034
L1901908000166,42750133
L1901908000167,42750232
L1901908000168,42750331
L1901908000169,42750430
L1901908000170,42750539
L1901908000171,42750638
L1901908000172,42750737
L1901908000173,42750836
L1901908000174,42750935
L1901908000175,42751032
L1901908000176,42751131
L1901908000177,42751230
L1901908000178,42751339
L1901908000179,42751438
L1901908000180,42751537
L1901908000181,42751636
L1901908000182,42751735
L1901908000183,42751834
L1901908000184,42751933
L1901908000185,42752030
L1901908000186,42752139
L1901908000187,42752238
L1901908000188,42752337
L1901908000189,42752436
L1901908000190,42752535
L1901908000191,42752634
L1901908000192,42752733
L1901908000193,42752832
L1901908000194,42752931
L1901908000195,42753038
L1901908000196,42753137
L1901908000197,42753236
L1901908000198,42753335
L1901908000199,42753434
L1901908000200,42753533
L1901908000201,42753632
L1901908000202,42753731
L1901908000203,42753830
L1901908000204,42753939
L1901908000205,42754036
L1901908000206,42754135
L1901908000207,42754234
L1901908000208,42754333
L1901908000209,42754432
L1901908000210,42754531
L1901908000211,42754630
L1901908000212,42754739
L1901908000213,42754838
L1901908000214,42754937
L1901908000215,42755033
L1901908000216,42755132
L1901908000217,42755231
L1901908000218,42755330
L1901908000219,42755439
L1901908000220,42755538
L1901908000221,42755637
L1901908000222,42755736
L1901908000223,42755835
L1901908000224,42755934
L1901908000225,42756031
L1901908000226,42756130
L1901908000227,42756239
L1901908000228,42756338
L1901908000229,42756437
L1901908000230,42756536
L1901908000231,42756635
L1901908000232,42756734
L1901908000233,42756833
L1901908000234,42756932
L1901908000235,42757039
L1901908000236,42757138
L1901908000237,42757237
L1901908000238,42757336
L1901908000239,42757435
L1901908000240,42757534
L1901908000241,42757633
L1901908000242,42757732
L1901908000243,42757831
L1901908000244,42757930
L1901908000245,42758037
L1901908000246,42758136
L1901908000247,42758235
L1901908000248,42758334
L1901908000249,42758433
L1901908000250,42758532
L1901908000251,42758631
L1901908000252,42758730
L1901908000253,42758839
L1901908000254,42758938
L1901908000255,42759035
L1901908000256,42759134
L1901908000257,42759233
L1901908000258,42759332
L1901908000259,42759431
L1901908000260,42759530
L1901908000261,42759639
L1901908000262,42759738
L1901908000263,42759837
L1901908000264,42759936
L1901908000265,42760033
L1901908000266,42760132
L1901908000267,42760231
L1901908000268,42760330
L1901908000269,42760439
L1901908000270,42760538
L1901908000271,42760637
L1901908000272,42760736
L1901908000273,42760835
L1901908000274,42760934
L1901908000275,42761031
L1901908000276,42761130
L1901908000277,42761239
L1901908000278,42761338
L1901908000279,42761437
L1901908000280,42761536
L1901908000281,42761635
L1901908000282,42761734
L1901908000283,42761833
L1901908000284,42761932
L1901908000285,42762039
L1901908000286,42762138
L1901908000287,42762237
L1901908000288,42762336
L1901908000289,42762435
L1901908000290,42762534
L1901908000291,42762633
L1901908000292,42762732
L1901908000293,42762831
L1901908000294,42762930
L1901908000295,42763037
L1901908000296,42763136
L1901908000297,42763235
L1901908000298,42763334
L1901908000299,42763433
L1901908000300,42763532
L1901908000301,42763631
L1901908000302,42763730
L1901908000303,42763839
L1901908000304,42763938
L1901908000305,42764035
L1901908000306,42764134
L1901908000307,42764233
L1901908000308,42764332
L1901908000309,42764431
L1901908000310,42764530
L1901908000311,42764639
L1901908000312,42764738
L1901908000313,42764837
L1901908000314,42764936
L1901908000315,42765032
L1901908000316,42765131
L1901908000317,42765230
L1901908000318,42765339
L1901908000319,42765438
L1901908000320,42765537
L1901908000321,42765636
L1901908000322,42765735
L1901908000323,42765834
L1901908000324,42765933
L1901908000325,42766030
L1901908000326,42766139
L1901908000327,42766238
L1901908000328,42766337
L1901908000329,42766436
L1901908000330,42766535
L1901908000331,42766634
L1901908000332,42766733
L1901908000333,42766832
L1901908000334,42766931
L1901908000335,42767038
L1901908000336,42767137
L1901908000337,42767236
L1901908000338,42767335
L1901908000339,42767434
L1901908000340,42767533
L1901908000341,42767632
L1901908000342,42767731
L1901908000343,42767830
L1901908000344,42767939
L1901908000345,42768036
L1901908000346,42768135
L1901908000347,42768234
L1901908000348,42768333
L1901908000349,42768432
L1901908000350,42768531
L1901908000351,42768630
L1901908000352,42768739
L1901908000353,42768838
L1901908000354,42768937
L1901908000355,42769034
L1901908000356,42769133
L1901908000357,42769232
L1901908000358,42769331
L1901908000359,42769430
L1901908000360,42769539
L1901908000361,42769638
L1901908000362,42769737
L1901908000363,42769836
L1901908000364,42769935
L1901908000365,42770032
L1901908000366,42770131
L1901908000367,42770230
L1901908000368,42770339
L1901908000369,42770438
L1901908000370,42770537
L1901908000371,42770636
L1901908000372,42770735
L1901908000373,42770834
L1901908000374,42770933
L1901908000375,42771030
L1901908000376,42771139
L1901908000377,42771238
L1901908000378,42771337
L1901908000379,42771436
L1901908000380,42771535
L1901908000381,42771634
L1901908000382,42771733
L1901908000383,42771832
L1901908000384,42771931
L1901908000385,42772038
L1901908000386,42772137
L1901908000387,42772236
L1901908000388,42772335
L1901908000389,42772434
L1901908000390,42772533
L1901908000391,42772632
L1901908000392,42772731
L1901908000393,42772830
L1901908000394,42772939
L1901908000395,42773036
L1901908000396,42773135
L1901908000397,42773234
L1901908000398,42773333
L1901908000399,42773432
L1901908000400,42773531
L1901908000401,42773630
L1901908000402,42773739
L1901908000403,42773838
L1901908000404,42773937
L1901908000405,42774034
L1901908000406,42774133
L1901908000407,42774232
L1901908000408,42774331
L1901908000409,42774430
L1901908000410,42774539
L1901908000411,42774638
L1901908000412,42774737
L1901908000413,42774836
L1901908000414,42774935
L1901908000415,42775031
L1901908000416,42775130
L1901908000417,42775239
L1901908000418,42775338
L1901908000419,42775437
L1901908000420,42775536
L1901908000421,42775635
L1901908000422,42775734
L1901908000423,42775833
L1901908000424,42775932
L1901908000425,42776039
L1901908000426,42776138
L1901908000427,42776237
L1901908000428,42776336
L1901908000429,42776435
L1901908000430,42776534
L1901908000431,42776633
L1901908000432,42776732
L1901908000433,42776831
L1901908000434,42776930
L1901908000435,42777037
L1901908000436,42777136
L1901908000437,42777235
L1901908000438,42777334
L1901908000439,42777433
L1901908000440,42777532
L1901908000441,42777631
L1901908000442,42777730
L1901908000443,42777839
L1901908000444,42777938
L1901908000445,42778035
L1901908000446,42778134
L1901908000447,42778233
L1901908000448,42778332
L1901908000449,42778431
L1901908000450,42778530
L1901908000451,42778639
L1901908000452,42778738
L1901908000453,42778837
L1901908000454,42778936
L1901908000455,42779033
L1901908000456,42779132
L1901908000457,42779231
L1901908000458,42779330
L1901908000459,42779439
L1901908000460,42779538
L1901908000461,42779637
L1901908000462,42779736
L1901908000463,42779835
L1901908000464,42779934
L1901908000465,42780031
L1901908000466,42780130
L1901908000467,42780239
L1901908000468,42780338
L1901908000469,42780437
L1901908000470,42780536
L1901908000471,42780635
L1901908000472,42780734
L1901908000473,42780833
L1901908000474,42780932
L1901908000475,42781039
L1901908000476,42781138
L1901908000477,42781237
L1901908000478,42781336
L1901908000479,42781435
L1901908000480,42781534
L1901908000481,42781633
L1901908000482,42781732
L1901908000483,42781831
L1901908000484,42781930
L1901908000485,42782037
L1901908000486,42782136
L1901908000487,42782235
L1901908000488,42782334
L1901908000489,42782433
L1901908000490,42782532
L1901908000491,42782631
L1901908000492,42782730
L1901908000493,42782839
L1901908000494,42782938
L1901908000495,42783035
L1901908000496,42783134
L1901908000497,42783233
L1901908000498,42783332
L1901908000499,42783431
L1901908000500,42783530
L1901908000501,42783639
L1901908000502,42783738
L1901908000503,42783837
L1901908000504,42783936
L1901908000505,42784033
L1901908000506,42784132
L1901908000507,42784231
L1901908000508,42784330
L1901908000509,42784439
L1901908000510,42784538
L1901908000511,42784637
L1901908000512,42784736
L1901908000513,42784835
L1901908000514,42784934
L1901908000515,42785030
L1901908000516,42785139
L1901908000517,42785238
L1901908000518,42785337
L1901908000519,42785436
L1901908000520,42785535
L1901908000521,42785634
L1901908000522,42785733
L1901908000523,42785832
L1901908000524,42785931
L1901908000525,42786038
L1901908000526,42786137
L1901908000527,42786236
L1901908000528,42786335
L1901908000529,42786434
L1901908000530,42786533
L1901908000531,42786632
L1901908000532,42786731
L1901908000533,42786830
L1901908000534,42786939
L1901908000535,42787036
L1901908000536,42787135
L1901908000537,42787234
L1901908000538,42787333
L1901908000539,42787432
L1901908000540,42787531
L1901908000541,42787630
L1901908000542,42787739
L1901908000543,42787838
L1901908000544,42787937
L1901908000545,42788034
L1901908000546,42788133
L1901908000547,42788232
L1901908000548,42788331
L1901908000549,42788430
L1901908000550,42788539
L1901908000551,42788638
L1901908000552,42788737
L1901908000553,42788836
L1901908000554,42788935
L1901908000555,42789032
L1901908000556,42789131
L1901908000557,42789230
L1901908000558,42789339
L1901908000559,42789438
L1901908000560,42789537
L1901908000561,42789636
L1901908000562,42789735
L1901908000563,42789834
L1901908000564,42789933
L1901908000565,42790030
L1901908000566,42790139
L1901908000567,42790238
L1901908000568,42790337
L1901908000569,42790436
L1901908000570,42790535
L1901908000571,42790634
L1901908000572,42790733
L1901908000573,42790832
L1901908000574,42790931
L1901908000575,42791038
L1901908000576,42791137
L1901908000577,42791236
L1901908000578,42791335
L1901908000579,42791434
L1901908000580,42791533
L1901908000581,42791632
L1901908000582,42791731
L1901908000583,42791830
